CLAVE CCT,TURNO,NIVEL,SOSTENIMIENTO,NOMBRE,CALLE,NUMERO,COLONIA,LOCALIDAD,MUNICIPIO,LATITUD,LONGITUD
 01DBH0004I, 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS DE BACHILLERATO 8/4 FRIDA KAHLO, AVENIDA PROFESOR JOSE TRINIDAD VELA SALAS, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.879081, -102.254873
 01DBH0005H, 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS DE BACHILLERATO 8/5 EZEQUIEL A. CHAVEZ, CALLE LIBRA, 602, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.870294, -102.262638
 01DBP0001U, 1 - MATUTINO 2 - VESPERTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS DE BACHILLERATO 5/1 LIC. JESUS REYES HEROLES, BOULEVARD NAZARIO ORTIZ GARZA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.899474, -102.272077
 01DBP0002T, 1 - MATUTINO 2 - VESPERTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS DE BACHILLERATO 6/1 AGUASCALIENTES, CALLE SAN FRANCISCO DE LOS VIVEROS, 101, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.879113, -102.254506
 01DBT0028N, 4 - DISCONTINUO  , CAPACITACION PARA EL TRABAJO, PÚBLICO, CENTRO DE CAPACITACION PARA EL TRABAJO NUM. 28, CALLE LICENCIADO MARIANO ESCOBEDO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.878933, -102.275998
 01DBT0164R, 4 - DISCONTINUO  , CAPACITACION PARA EL TRABAJO, PÚBLICO, CENTRO DE CAPACITACION PARA EL TRABAJO NUM. 164, CALLE PRIMO VERDAD, 207, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.883951, -102.292657
 01DBT0172Z, 4 - DISCONTINUO  , CAPACITACION PARA EL TRABAJO, PÚBLICO, CENTRO DE CAPACITACION PARA EL TRABAJO NUM. 172, CALLE MONROY, 216, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.879269, -102.305026
 01DCM0001W, 2 - VESPERTINO (INACTIVO) 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS TECNOLOGICOS EN AGUAS CONTINENTALES NUM. 05, CALLE HACIENDA MESILLAS, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.890421, -102.250565
 01DCT0001F, 1 - MATUTINO 2 - VESPERTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 168, CALLE RIO RHIN, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.894981, -102.322852
 01DCT0002E, 2 - VESPERTINO 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM. 80, CALLE CORONEL LUIS MOYA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.848263, -102.310702
 01DCT0003D, 2 - VESPERTINO 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 195, AVENIDA REVOLUCION, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.885964, -102.264229
 01DCT0004C, 1 - MATUTINO 2 - VESPERTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ESTUDIOS TECNOLOGICOS INDUSTRIAL Y DE SERVICIOS NUM. 155, AVENIDA PERSEO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.869554, -102.270634
 01DCT0199F, 2 - VESPERTINO 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 39, CALLE NIZA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.873664, -102.319873
 01DCT0279R, 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 279, CALLE CARRETERA MEXICO 45 AGUASCALIENTES-PEÑUELAS KILOMETRO 20.9, 0, RURAL, PEÑUELAS (EL CIENEGAL), AGUASCALIENTES, 21.721772, -102.276207
 01DCT0281F, 1 - MATUTINO 2 - VESPERTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 281, AVENIDA MISION DE SAN CRISTOBAL MAGALLANES JARA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.84663, -102.271163
 01DCT0282E, 2 - VESPERTINO 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 282, AVENIDA VIÑEDOS RIVIER, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.8956, -102.323017
 01DCT0283D, 2 - VESPERTINO 1 - MATUTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 283, CALLE SAN FRANCISCO DE LOS VIVERO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.886657, -102.231848
 01DCT0284C, 1 - MATUTINO 2 - VESPERTINO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 284, AVENIDA LA SALUD, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.867725, -102.233124
 01DDI0004F, 1 - MATUTINO  , INICIAL, PÚBLICO, CENTRO DE ATENCIÓN INFANTIL SEP, AVENIDA AGUASCALIENTES, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.871838, -102.254448
 01DER0001P, 4 - DISCONTINUO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ATENCION PARA PERSONAS CON DISCAPACIDAD AGUASCALIENTES CEB 6/1, CALLE SAN FRANCISCO DE LOS VIVEROS, 101, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.879113, -102.254506
 01DER0004M, 4 - DISCONTINUO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ATENCION PARA PERSONAS CON DISCAPACIDAD AGUASCALIENTES CBTIS 168, CALLE RIO RHIN, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.894981, -102.322852
 01DER0005L, 4 - DISCONTINUO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ATENCION PARA PERSONAS CON DISCAPACIDAD AGUASCALIENTES CETIS 155, AVENIDA PERSEO, 99, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.869554, -102.270634
 01DER0006K, 4 - DISCONTINUO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ATENCION PARA PERSONAS CON DISCAPACIDAD AGUASCALIENTES CBTIS 282, AVENIDA VIÑEDOS RIVIER, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.8956, -102.323017
 01DER0007J, 4 - DISCONTINUO  , MEDIA SUPERIOR, PÚBLICO, CENTRO DE ATENCION PARA PERSONAS CON DISCAPACIDAD AGUASCALIENTES CECATI 164, CALLE LICENCIADO FRANCISCO PRIMO VERDAD, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.8836, -102.292925
 01DES0001O, 2 - VESPERTINO 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 1, LIC. BENITO JUÁREZ""", AVENIDA DR. PEDRO DE ALBA, 357, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.882277, -102.307989
 01DES0002N, 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 25, MOISÉS SÁENZ""", CALLE EDMUNDO GAMEZ OROZCO, 118, URBANO, GENERAL JOSÉ MARÍA MORELOS Y PAVÓN (CAÑADA HONDA), AGUASCALIENTES, 22.000278, -102.202778
 01DES0006J, 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 9, AMADO NERVO""", CALLE PASCUAL CORNEJO BRUN, 102, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.904768, -102.268224
 01DES0007I, 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 10, 22 DE OCTUBRE""", CALLE JOSE CALVILLO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.851049, -102.323635
 01DES0008H, 2 - VESPERTINO 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 2, JOSÉ CLEMENTE OROZCO""", CALLE SAN COSME, 201, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.90071, -102.309009
 01DES0009G, 2 - VESPERTINO 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 3, CONGRESO DE ANÁHUAC""", CALLE REPUBLICA DE MEDELLIN, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.869746, -102.306164
 01DES0010W, 1 - MATUTINO 2 - VESPERTINO (INACTIVO)  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 4, LEYES DE REFORMA""", CALLE CONVENCION NORTE, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.902988, -102.285436
 01DES0011V, 1 - MATUTINO 2 - VESPERTINO (INACTIVO)  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 5, CONVENCIÓN DE AGUASCALIENTES""", CALLE SINALOA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.863961, -102.28153
 01DES0013T, 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 24, JOSÉ GUADALUPE NÁJERA JIMÉNEZ""", AVENIDA REVOLUCION, 0, URBANO, VILLA LICENCIADO JESÚS TERÁN (CALVILLITO), AGUASCALIENTES, 21.842369, -102.189539
 01DES0015R, 2 - VESPERTINO (INACTIVO) 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 6, JOSÉ GUADALUPE POSADA AGUILAR""", CALLE CAPITAN DIEGO FERNANDEZ, 102, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.855681, -102.301536
 01DES0016Q, 2 - VESPERTINO 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 7, PROF. JOSÉ T. VELA SALAS""", AVENIDA LICENCIADO ADOLFO LOPEZ MATEOS, 1705, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.877706, -102.267251
 01DES0017P, 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 8, RAMÓN LÓPEZ VELARDE""", AVENIDA DEL CEDAZO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.869026, -102.267595
 01DES0019N, 1 - MATUTINO 2 - VESPERTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 11, J. GUADALUPE PERALTA GÁMEZ""", AVENIDA NAZARIO ORTIZ GARZA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.898806, -102.274556
 01DES0021B, 2 - VESPERTINO 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 18, CONGRESO DE CHILPANCINGO""", CALLE CAUDILLOS, 701, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.858976, -102.265918
 01DES0022A, 2 - VESPERTINO 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 12, ROSA GUERRERO RAMÍREZ""", CALLE PLACERES, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.868566, -102.291625
 01DES0023Z, 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 13, RICARDO FLORES MAGÓN""", CALLE 20 DE NOVIEMBRE, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.885964, -102.264229
 01DES0024Z, 2 - VESPERTINO 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 14, JESÚS REYES HEROLES""", CALLE LAGOS DE MORENO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.910981, -102.30937
 01DES0025Y, 1 - MATUTINO 2 - VESPERTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 15, CONSTITUCIÓN DE 1917""", CALLE ARTICULO 31, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.935432, -102.282074
 01DES0026X, 1 - MATUTINO 2 - VESPERTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 16, OTILIO MONTAÑO""", CALLE PEÑUELAS, 105, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.888756, -102.257963
 01DES0027W, 1 - MATUTINO 2 - VESPERTINO (INACTIVO)  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 17, PRIMERO DE MAYO""", PROLONGACIÓN ZARAGOZA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.893992, -102.296904
 01DES0028V, 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 19, GRAN TENOCHTITLAN""", AVENIDA SIGLO XXI, 5102, RURAL, LOMAS DEL GACHUPÍN, AGUASCALIENTES, 21.84705, -102.342979
 01DES0029U, 1 - MATUTINO 2 - VESPERTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 20, SIGLO XXI""", CALLE GENTE BUENA, 136, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.89503, -102.255552
 01DES0030J, 1 - MATUTINO 2 - VESPERTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 30, OCTAVIO PAZ""", CALLE ANDRES SOLER, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.842756, -102.304525
 01DES0031I, 1 - MATUTINO 2 - VESPERTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 31, ROSARIO CASTELLANOS""", CALLE AJEDRECISTAS, 301, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.846316, -102.252754
 01DES0032H, 2 - VESPERTINO 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 32, JESÚS AGUILERA PALOMINO""", CALLE JUAN JOSE ARREOLA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.914114, -102.259047
 01DES0033G, 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 40, SECUNDARIA DEL DEPORTE""", CALLE FELIPE PESCADOR, 102, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.908507, -102.282006
 01DES0034F, 1 - MATUTINO 2 - VESPERTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 33, J. REFUGIO MIRANDA AGUAYO""", CALLE VISTA DE LA MONTAÑA, 101, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.843119, -102.260375
 01DES0035E, 2 - VESPERTINO 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 34, MAHATMA GANDHI""", CALLE FERNAN GONZALEZ DE ESLAVA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.930606, -102.259417
 01DES0038B, 1 - MATUTINO 2 - VESPERTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 37, GABRIEL GARCÍA MÁRQUEZ""", CALLE MISIÓN DE SAN MARGARITO FLORES GARCÍA, 256, RURAL, HACIENDA SAN MARCOS [FRACCIONAMIENTO], AGUASCALIENTES, 21.807503, -102.270634
 01DES0039A, 2 - VESPERTINO 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 38, ING. MIGUEL ÁNGEL BARBERENA VEGA""", AVENIDA SALVADOR RANGEL, 221, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.940755, -102.256588
 01DES0040Q, 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 39, LUIS DONALDO COLOSIO MURRIETA""", CALLE PASEO DEL SEÑOR DEL ENCINO SUR, 0, RURAL, SAN SEBASTIÁN [FRACCIONAMIENTO], AGUASCALIENTES, 21.81941, -102.26989
 01DES0041P, 1 - MATUTINO 2 - VESPERTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 41, JOSEPH LANCASTER""", CALLE VILLA DE LOURDES, 202, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.858495, -102.234996
 01DES0042O, 1 - MATUTINO 2 - VESPERTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 42, VIRGINIA WOOLF""", CALLE VILLA CLARA, 402, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.927382, -102.248467
 01DES0043N, 1 - MATUTINO  , SECUNDARIA, PÚBLICO," ""SECUNDARIA GENERAL NÚM. 43, SALVADOR MARTÍNEZ MACÍAS""", CALLE DR. JOSE GONZALEZ SARACHO, 110, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.883014, -102.29237
 01DJN0001E, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, JUSTO SIERRA, CALLE 20 DE NOVIEMBRE, 0, RURAL, HACIENDA NUEVA, AGUASCALIENTES, 21.9075, -102.358889
 01DJN0002D, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, JEAN PIAGET, AVENIDA CONVENCION REVOLUCIONARIA, 87, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.853089, -102.315105
 01DJN0003C, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, CUARTO CENTENARIO, AVENIDA INDEPENDENCIA, 2515, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.941041, -102.297151
 01DJN0005A, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, FEDERICO FROEBEL, CALLE PAUL P. HARRIS, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.870008, -102.291632
 01DJN0006Z, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, MARIA CONCEPCION MALDONADO, CALLE ALFA, 201, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.903338, -102.277281
 01DJN0011L, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, CLUB SERTOMA NUM. 1, BOULEVARD GUADALUPANO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.903782, -102.267942
 01DJN0014I, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, FRAY BARTOLOME DE LAS CASAS, CALLE LAZARO VILLA, 110, RURAL, EL SALTO DE LOS SALADO, AGUASCALIENTES, 21.755833, -102.377778
 01DJN0017F, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, JESUS GOMEZ PORTUGAL, CALLE CIRIO, 101, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.870473, -102.264907
 01DJN0018E, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, MA. CONCEPCION AGUAYO, CALLE BENITO JUAREZ, 114, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.867882, -102.248789
 01DJN0020T, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, AZTECA, CALLE J. GUADALUPE NAJERA, 0, URBANO, VILLA LICENCIADO JESÚS TERÁN (CALVILLITO), AGUASCALIENTES, 21.826618, -102.188219
 01DJN0021S, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, FRAY BARTOLOME DE LAS CASAS, CALLE VALENTE QUINTANA, 101, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.852276, -102.297831
 01DJN0022R, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, ALFONSO REYES, AVENIDA CONSTITUCION, 1001, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.92965, -102.28364
 01DJN0024P, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, ROSA VALADEZ, CALLE DR. JOSE GONZALEZ SARACHO, 112, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.882801, -102.292598
 01DJN0025O, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, LIC. BENITO JUAREZ, CALLE JARDIN DEL ENCINO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.860908, -102.286493
 01DJN0027M, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, JOSEFA ORTIZ DE DOMINGUEZ, CALLE AQUILES ELOURDY, 1002, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.880539, -102.319306
 01DJN0029K, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, JUAN ESCUTIA, CALLE PIRULES, 209, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.869638, -102.312131
 01DJN0037T, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, JOSE MARIA BOCANEGRA, CALLE TLAXCALA, 1004, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.885299, -102.319359
 01DJN0042E, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, JOSE ANGEL CENISEROS, AVENIDA 20 DE NOVIEMBRE, 83, RURAL, COMUNIDAD EL ROCÍO, AGUASCALIENTES, 21.878056, -102.238333
 01DJN0049Y, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, JESUS GARCIA CORONA, CALLE SILVANO BARBA GONZALEZ, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.872278, -102.274236
 01DJN0053K, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, IGNACIO JOSE ALLENDE, CALLE VICENTE GUERRERO, 600, RURAL, SAN IGNACIO, AGUASCALIENTES, 21.891389, -102.340278
 01DJN0054J, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, ANA FREUD BERNAYS, CALLE COAHUILA, 202, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.858509, -102.278488
 01DJN0062S, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, FERNANDO MONTES DE OCA, CALLE SAN COSME, 201, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.90071, -102.309009
 01DJN0070A, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, HEROE DE NACOZARI, CALLE ING. LUIS RAMIREZ, 1, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.887173, -102.276289
 01DJN0073Y, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, CUAUHTEMOC, CALLE HORNEDO, 448, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.880758, -102.290585
 01DJN0074X, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, MANUEL M. PONCE, CALLE DECRETO 27 DE SEPTIEMBRE DE 1960, 69, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.888903, -102.283089
 01DJN0075W, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, FRANCISCO GOITIA, AVENIDA PENSADORES MEXICANOS, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.912252, -102.266417
 01DJN0077U, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, LUZ MARIA SERRADELL, CALLE SAN JULIAN, 316, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.909053, -102.306928
 01DJN0081G, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, EVA SAMANO DE LOPEZ MATEOS, CALLE PEDRO DE ALBA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.882519, -102.307914
 01DJN0082F, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, MA. CONCEPCION MACIAS PEÑA DE G., CALLE RICARDO R. GARCIA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.877086, -102.309763
 01DJN0083E, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, ALFONSO MARTINEZ DOMINGUEZ, CALLE MARINA NACIONAL, 403, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.892571, -102.297935
 01DJN0084D, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, FRAY BARTOLOME DE LAS CASAS, CALLE SOLEDAD, 121, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.877006, -102.287056
 01DJN0085C, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, GUADALUPE GOMEZ MARQUEZ, CALLE LAS TROJES, 201, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.880809, -102.255608
 01DJN0086B, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, BELEN VENTURA DE OLIVARES, CALLE MARIANO CHICO, 158, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.888511, -102.310254
 01DJN0087A, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, NIÑOS HEROES DE CHAPULTEPEC, CALLE TALAMANTES, 113, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.880524, -102.305177
 01DJN0088Z, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, CARMEN MACIAS PEÑA, CALLE REPUBLICA DOMINICANA, 500, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.868129, -102.300897
 01DJN0089Z, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, ALFONSO ESPARZA OTEO, CALLE ACUEDUCTO, 116, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.872109, -102.286987
 01DJN0090O, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, EZEQUIEL A. CHAVEZ, CALLE GRAN AVENIDA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.891453, -102.293014
 01DJN0091N, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, J. JESUS AGUILERA PALOMINO, CALLE JOSE MARIA AVILA, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.894157, -102.309141
 01DJN0094K, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, CLAUDIO ZAPATA, CALLE TABACHIN, 304, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.90112, -102.3048
 01DJN0095J, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, VICENTA TRUJILLO, CALLE DR. JESUS DIAZ DE LEON, 332, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.878465, -102.293524
 01DJN0098G, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, RAFAEL RAMIREZ, CALLE EDMUNDO GÁMEZ OROZCO, 115, URBANO, GENERAL JOSÉ MARÍA MORELOS Y PAVÓN (CAÑADA HONDA), AGUASCALIENTES, 22.000911, -102.203851
 01DJN0100E, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, MARGARITA MAZA DE JUAREZ, CALLE BENITEZ CARRASCO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.897722, -102.277441
 01DJN0101D, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, IGNACIO FLORES, CALLE MANUEL G. ESCOBEDO, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.880494, -102.276686
 01DJN0106Z, 1 - MATUTINO  , PREESCOLAR, PÚBLICO, EDMUNDO GAMEZ OROZCO, AVENIDA CIRCUNVALACIÓN SUR, 0, URBANO, AGUASCALIENTES, AGUASCALIENTES, 21.867939, -102.278749
